scope,n,pearson_r,pearson_p,spearman_r,spearman_p
Pooled,95142,0.45648427645316264,0.0,0.46702216193130947,0.0
CBS,7217,0.24655108934131187,2.1169715753184071e-100,0.2373768103088502,5.377536912441596e-93
GAL4,1195,0.5612568262658548,3.9766519451383824e-100,0.6036658362128721,1.5004416417871538e-119
PABP,74229,0.577184487177599,0.0,0.5837961541699275,0.0
PTEN,7504,0.18504793349267812,8.614666983605298e-59,0.2138842973849492,2.247714649445361e-78
TEM1,4997,0.46409637435329537,1.949784153528823e-265,0.4932761270435698,8.72430184005991e-305
