dataset,n_sample,pearson_r_raw,pearson_p_raw,spearman_r_raw,spearman_p_raw,pearson_r_z,pearson_p_z,spearman_r_z,spearman_p_z,AUROC_raw,AUROC_corrected,AUPRC_raw,AUPRC_corrected,SCI_trend
All_Proteins_Full,95142,0.1043,2.1328633184164106e-228,0.2,0.0,0.308,0.0,0.3237,0.0,0.6685,0.6685,0.7388,0.7388,SCI越大 → 中性突变越强
Balanced_Stratified,5975,0.2158,6.25058932861801e-64,0.1154,3.501666885637696e-19,0.2706,8.193302095522e-101,0.2986,2.4270115448227513e-123,0.629,0.629,0.7279,0.7279,SCI越大 → 中性突变越强
CBS,7217,0.1122,1.1473243229117174e-21,0.1308,6.807285059543138e-29,0.1122,1.1473243229117174e-21,0.1308,6.807285059543138e-29,0.5698,0.5698,0.5321,0.5321,SCI越大 → 中性突变越强
GAL4,1195,0.4089,2.2194153907173647e-49,0.4329,9.02786590783785e-56,0.4089,2.219415390717075e-49,0.4329,9.02786590783785e-56,0.7175,0.7175,0.8556,0.8556,SCI越大 → 中性突变越强
PABP,74229,0.3438,0.0,0.3558,0.0,0.3438,0.0,0.3558,0.0,0.699,0.699,0.7608,0.7608,SCI越大 → 中性突变越强
PTEN,7504,0.1299,1.3489984065472457e-29,0.1351,6.541189817348071e-32,0.1299,1.3489984065472457e-29,0.1351,6.541189817348071e-32,0.6288,0.6288,0.8651,0.8651,SCI越大 → 中性突变越强
TEM1,4997,0.478,1.0860763550640993e-283,0.5024,0.0,0.478,1.0860763550640993e-283,0.5024,0.0,0.7592,0.7592,0.7676,0.7676,SCI越大 → 中性突变越强
